date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:17	443/443	---M--	200	added ('OK')	text/plain	etag:W/%221bb-vSHNsUa7VWyA63DVja2Ytd/v8ts%22	https://club42palermo.wixsite.com/robots.txt		(from )
18:41:19	1309046/1309046	---MCZ	200	added ('OK')	text/html	etag:W/%223d112ca14014c9c932ced9678561768c%22	https://club42palermo.wixsite.com/club42	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/club42.html	(from )
18:41:20	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/club42/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://club42palermo.wixsite.com/club42)
18:41:20	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/club42/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://club42palermo.wixsite.com/club42)
18:41:21	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/club42/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://club42palermo.wixsite.com/club42)
18:41:22	2505/2505	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202026%2016:41:21%20GMT	https://club42palermo.wixsite.com/	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/index.html	(from https://club42palermo.wixsite.com/club42)
18:41:22	2505/2505	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202026%2016:41:21%20GMT	https://club42palermo.wixsite.com/t	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/t.4.delayed	(from https://club42palermo.wixsite.com/club42)
18:41:22	2505/2505	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2017%20Apr%202026%2016:41:22%20GMT	https://club42palermo.wixsite.com/o	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/o.5.delayed	(from https://club42palermo.wixsite.com/club42)
18:41:23	19332/19332	---M-Z	200	added ('OK')	application/javascript	etag:W/%22495bd4b5cba146c657fcb346f2e0c077%22	https://static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/271.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/271.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:24	793371/793371	---M-Z	200	added ('OK')	application/javascript	etag:W/%228062bb4778bbf713012bd75ff7396b77%22	https://static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/181.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/181.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:24	12549/12549	---M-Z	200	added ('OK')	application/javascript	etag:W/%228a9484a53b6978ddedb7bf629eaf6d21%22	https://static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/843.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/843.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:25	6271/6271	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e05a087973a0f8019659cb1b767429f9%22	https://static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/570.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/570.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:25	17861/17861	---M-Z	200	added ('OK')	application/javascript	etag:W/%222354dabd6a6c1a449d55221978db4707%22	https://static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/SingleEvent.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/events-viewer/1.4180.0/client-viewer/SingleEvent.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:26	27436/27436	---M-Z	200	added ('OK')	application/javascript	etag:W/%223a7fd1a545c76a7dda2225f8c7b70c33%22	https://static.parastorage.com/services/form-app/1.2565.0/client-viewer/1882.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/form-app/1.2565.0/client-viewer/1882.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:26	6193/6193	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263c12fa717ec8462103609db392d04b1%22	https://static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-header.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-header.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:27	119221/119221	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a61a70b858b1e61770a5bfe43adcae%22	https://static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-wix-ricos-viewer.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:27	19275/19275	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eb83b2c29b22438d77c480be8f93f62a%22	https://static.parastorage.com/services/form-app/1.2565.0/client-viewer/4068.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/form-app/1.2565.0/client-viewer/4068.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:28	442/442	---M-Z	200	added ('OK')	application/javascript	etag:W/%2206124664484a13189ef1f5443ae2dd96%22	https://static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-checkbox-group.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-checkbox-group.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:28	11208/11208	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e6a0dc9bdc43f937b7d3ff7b11be88e8%22	https://static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-text-area.chunk.min.js	C:/My%20Web%20Sites/club42/static.parastorage.com/services/form-app/1.2565.0/client-viewer/form-app-text-area.chunk.min.js	(from https://club42palermo.wixsite.com/club42)
18:41:30	1085317/1085317	---MCZ	200	added ('OK')	text/html	etag:W/%22db0a58918f318db1cfcbc1748943bb4f%22	https://club42palermo.wixsite.com/club42/event-list	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/club42/event-list.html	(from https://club42palermo.wixsite.com/club42)
18:41:33	1066030/1066030	---MCZ	200	added ('OK')	text/html	etag:W/%223b90df4ae4a606bae4ca1ffd40ebcc37%22	https://club42palermo.wixsite.com/club42/blank	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/club42/blank.html	(from https://club42palermo.wixsite.com/club42)
18:41:33	51647/51647	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Apr%202026%2016:41:31%20GMT	https://static.wixstatic.com/media/32639b_fa4ba405ea3d4e9daf278922f4ce0eb2f000.jpg/v1/fill/w_511,h_511,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/32639b_fa4ba405ea3d4e9daf278922f4ce0eb2f000.jpg	C:/My%20Web%20Sites/club42/static.wixstatic.com/media/32639b_fa4ba405ea3d4e9daf278922f4ce0eb2f000.jpg/v1/fill/w_511,h_511,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/32639b_fa4ba405ea3d4e9daf278922f4ce0eb2f000.jpg	(from https://club42palermo.wixsite.com/club42)
18:41:34	6641/6641	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Apr%202026%2016:41:33%20GMT	https://static.wixstatic.com/media/32639b_e09b8aeaef29494c9213c8f82872df63~mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/32639b_e09b8aeaef29494c9213c8f82872df63~mv2.png	C:/My%20Web%20Sites/club42/static.wixstatic.com/media/32639b_e09b8aeaef29494c9213c8f82872df63_mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/32639b_e09b8aeaef29494c9213c8f82872df63_mv2.png	(from https://club42palermo.wixsite.com/club42)
18:41:36	1183788/1183788	---MCZ	200	added ('OK')	text/html	etag:W/%22603b08b72769a7533581cd04656ca3fa%22	https://club42palermo.wixsite.com/club42/event-details/we-are-family	C:/My%20Web%20Sites/club42/club42palermo.wixsite.com/club42/event-details/we-are-family.html	(from https://club42palermo.wixsite.com/club42)
18:41:36	37723/37723	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Apr%202026%2016:41:34%20GMT	https://static.wixstatic.com/media/32639b_24ad73f947de4008b2e8233f96f252f3~mv2.jpg/v1/crop/x_0,y_350,w_1024,h_294/fill/w_600,h_172,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/32639b_24ad73f947de4008b2e8233f96f252f3~mv2.jpg	C:/My%20Web%20Sites/club42/static.wixstatic.com/media/32639b_24ad73f947de4008b2e8233f96f252f3_mv2.jpg/v1/crop/x_0,y_350,w_1024,h_294/fill/w_600,h_172,al_c,q_80,usm_0.66_1.00_0.01,enc_av/32639b_24ad73f947de4008b2e8233f96f252f3_mv2.jpg	(from https://club42palermo.wixsite.com/club42)
